#flt1
151C-001	70	0	G	2	8	GC	20	1
151C-002	100	1	G	3	8	GC,GGC	30,80	1
151C-003	340	2	G	4	80019	GGC	150	1
151C-004	70	0	R	1	30000	R,RR	,30	1
151C-005	100	1	R	2	20004	R,RRR	20,90	1
151C-006	330	2	R	2	20204	R,RRRR	60+,330	1
151C-007	60	0	W	1	2000	W,WW	,20	1
151C-008	100	1	W	2	20004	W,WW	,50	1
151C-009	330	2	W	3	a0001	WW	140×	1
151C-010	50	0	G	1	0	G	10+	1
151C-011	90	1	G	3	2000	G,CC	20,	1
151C-012	130	2	G	1	4	G,CC	60,	1
151C-013	50	0	G	1	0	G,CC	10,20	1
151C-014	80	1	G	3	80001	CC	20	1
151C-015	130	2	G	1	10	CC,GG	30+,110	1
151C-016	50	0	C	1	4	C,CC	,20	1
151C-017	80	1	C	0	0	C	20	1
151C-018	130	2	C	0	2000	C,CCC	40,150	1
151C-019	40	0	C	1	200	CC	20+	1
151C-020	70	1	C	0	200	CC	30+	1
151C-021	50	0	C	1	80001	C	10	1
151C-022	90	1	C	0	4	C,C	,50	1
151C-023	70	0	D	2	22004	DD	30	1
151C-024	270	1	D	2	20804	DD,DDD	70,150	1
151C-025	60	0	L	1	4	L,LLC	,50	1
151C-026	120	1	L	1	80025	LLC	180	1
151C-027	60	0	F	1	a0001	CC	30	1
151C-028	120	1	F	2	a00	F,FCC	30,80+	1
151C-029	60	0	D	1	10	DC	20	1
151C-030	90	1	D	2	4	D,DC	,50	1
151C-031	170	2	D	3	0	DC,DDC	90,160	1
151C-032	60	0	D	1	0	D	20	1
151C-033	90	1	D	2	0	D,DDC	30,100	1
151C-034	170	2	D	3	80011	DDCC	190	1
151C-035	60	0	P	1	4	P,PC	,20	1
151C-036	100	1	P	2	4	P,PPP	,50	1
151C-037	70	0	R	1	2010	RC	20	1
151C-038	260	1	R	2	10	R,RC	30,80+	1
151C-039	70	0	C	1	2004	C,CC	,20×	1
151C-040	250	1	C	3	80009	CCC	90+	1
151C-041	40	0	D	1	80001	C	10	1
151C-042	80	1	D	1	0	C		1
151C-043	60	0	G	1	0	CC	20	1
151C-044	70	1	G	1	80005	CC	30	1
151C-045	140	2	G	2	80005	GCC	90	1
151C-046	70	0	G	2	10	G,GC	10,20	1
151C-047	120	1	G	2	2004	G,CC	,50	1
151C-048	70	0	G	2	0	C,GCC	10,40	1
151C-049	90	1	G	1	10	G,GCC	30,90	1
151C-050	50	0	F	1	0	F,FF	10,30	1
151C-051	90	1	F	1	0	F,FF	40,80	1
151C-052	70	0	C	1	2004	C,CC	,20	1
151C-053	110	1	C	1	80005	CCC	70	1
151C-054	70	0	W	1	2000	C,W	,10	1
151C-055	110	1	W	1	20004	C,WWC	,120	1
151C-056	60	0	F	1	2000	F	20+	1
151C-057	120	1	F	2	10	F,FCC	40,150	1
151C-058	80	0	R	2	20004	R	10	1
151C-059	150	1	R	4	20004	R,RRCC	30,240	1
151C-060	60	0	W	1	2010	W	10	1
151C-061	90	1	W	1	2000	W,WC	20,30+	1
151C-062	160	2	W	2	2010	W,WCC	50,100+	1
151C-063	50	0	P	1	0	P	20	1
151C-064	80	1	P	1	0	P	30	1
151C-065	310	2	P	1	0	CC,PP	90+,120	1
151C-066	70	0	F	2	20000	F,FF	,30	1
151C-067	100	1	F	2	20000	FF	50	1
151C-068	180	2	F	2	a2009	FF	100	1
151C-069	60	0	G	1	800	G,GC	10,20	1
151C-070	90	1	G	2	0	G,GC	30,50	1
151C-071	150	2	G	3	200	G,GC	50,120	1
151C-072	60	0	W	1	0	W,CC	10,20	1
151C-073	120	1	W	2	2010	CC,WCC	30,90×	1
151C-074	80	0	F	2	0	F,FC	,20	1
151C-075	110	1	F	3	2000	F,FCC	40×,60	1
151C-076	330	2	F	4	0	F,FCC	50,180	1
151C-077	70	0	R	1	2	R,RCC	,30	1
151C-078	100	1	R	1	10	R,RCC	,90	1
151C-079	80	0	P	2	8	P,CC	,20	1
151C-080	130	1	P	2	10	P,PCC	,160	1
151C-081	60	0	L	1	0	L,LC	10,60	1
151C-082	90	1	L	2	20004	L,LCC	,60	1
151C-083	90	0	C	1	2	C,C	,30	1
151C-084	70	0	C	1	0	C	30	1
151C-085	100	1	C	1	80203	C	10+	1
151C-086	80	0	W	2	0	W	20	1
151C-087	130	1	W	2	0	WC,WCC	,100	1
151C-088	80	0	D	2	0	D	10	1
151C-089	150	1	D	4	0	D,DDDC	30,180	1
151C-090	70	0	W	2	0	WW	30	1
151C-091	130	1	W	3	0	WW	80	1
