#srch1
3799	n的觉悟 支援者卡 c 从自己的牌库上方抽出6张丢到弃牌区 将其中的所有基本能量卡附于自己的备战区的1只 龙 宝可梦身上
7693	阿渡 支援者卡 f 从自己的牌库选择最多3张 龙 宝可梦卡 在给对手看过后加入手牌 并且重洗牌库
8179	阿渡 支援者卡 f 从自己的牌库选择最多3张 龙 宝可梦卡 在给对手看过后加入手牌 并且重洗牌库
8444	阿枫 支援者卡 g 若使用了这张卡 则自己的回合结束 将自己的手牌全部放回牌库并重洗 然后 从牌库抽出8张卡
3289	阿桔的陷阱 支援者卡 c 将对手的战斗宝可梦 中毒 与 混乱
3966	阿桔的陷阱 支援者卡 c 将对手的战斗宝可梦 中毒 与 混乱
7373	阿克罗玛的实验 支援者卡 f 查看自己的牌库上方5张卡 选择其中3张卡加入手牌 将剩余卡放置于放逐区
8103	阿克罗玛的实验 支援者卡 f 查看自己的牌库上方5张卡 选择其中3张卡加入手牌 将剩余卡放置于放逐区
8277	阿克罗玛的实验 支援者卡 f 查看自己的牌库上方5张卡 选择其中3张卡加入手牌 将剩余卡放置于放逐区
11510	阿克罗玛的执著 支援者卡 h 从自己的牌库选择竞技场卡与能量卡各1张 在给对手看过后加入手牌 并且重洗牌库
11780	阿克罗玛的执著 支援者卡 h 从自己的牌库选择竞技场卡与能量卡各1张 在给对手看过后加入手牌 并且重洗牌库
12585	阿克罗玛的执著 支援者卡 h 从自己的牌库选择竞技场卡与能量卡各1张 在给对手看过后加入手牌 并且重洗牌库
12973	阿克罗玛的执著 支援者卡 h 从自己的牌库选择竞技场卡与能量卡各1张 在给对手看过后加入手牌 并且重洗牌库
13163	阿克罗玛的执著 支援者卡 h 从自己的牌库选择竞技场卡与能量卡各1张 在给对手看过后加入手牌 并且重洗牌库
7107	阿芒 支援者卡 f 从自己的牌库抽出2张卡 若自己的战斗宝可梦为名称中有 洗翠 的宝可梦 则再抽出2张卡
5744	阿蜜 支援者卡 b 从自己的牌库抽出1张 钢 宝可梦 在给对手看过后加入手牌 并且重洗牌库 若在后攻玩家的最初回合使用 可加入手牌的 钢 宝可梦改为最多5张
12180	阿蜜的目光 支援者卡 h 在下个对手的回合 自己的所有宝可梦受到对手的宝可梦招式的伤害 -30 点 包含新上场的宝可梦
12378	阿蜜的目光 支援者卡 h 在下个对手的回合 自己的所有宝可梦受到对手的宝可梦招式的伤害 -30 点 包含新上场的宝可梦
12384	阿蜜的目光 支援者卡 h 在下个对手的回合 自己的所有宝可梦受到对手的宝可梦招式的伤害 -30 点 包含新上场的宝可梦
2525	阿球 支援者卡 d 从自己的牌库选择最多3张名称中有 球 名称各不同的物品卡 在给对手看过后加入手牌 并且重洗牌库
3491	阿塞劳拉 支援者卡 a 将自己的1只身上放置有伤害指示物的宝可梦 与所附加的所有卡放回手牌
4820	阿塞劳拉 支援者卡 a 将自己的1只身上放置有伤害指示物的宝可梦 与所附加的所有卡放回手牌
5913	阿塞劳拉 支援者卡 a 将自己的1只身上放置有伤害指示物的宝可梦 与所附加的所有卡放回手牌
6076	阿塞劳拉的预感 支援者卡 e 查看对手的手牌 从自己的牌库抽出与其中训练家卡的张数相同数量的卡
8657	阿速 支援者卡 g 从自己的牌库抽出2张卡 若场上有自己的竞技场卡 则再抽出2张卡
3283	阿杏 支援者卡 c 从自己的牌库上方抽出4张并查看 将其中的2张卡加入手牌 将剩余卡放回牌库并重洗
3964	阿杏 支援者卡 c 从自己的牌库上方抽出4张并查看 将其中的2张卡加入手牌 将剩余卡放回牌库并重洗
11511	阿杏的秘招 支援者卡 h 选择最多2只自己的 恶 宝可梦 从自己的牌库附给那些宝可梦各1张 基本 恶 能量 卡 并且重洗牌库 附于战斗宝可梦身上的情况下 将那只宝可梦 中毒
11781	阿杏的秘招 支援者卡 h 选择最多2只自己的 恶 宝可梦 从自己的牌库附给那些宝可梦各1张 基本 恶 能量 卡 并且重洗牌库 附于战斗宝可梦身上的情况下 将那只宝可梦 中毒
12587	阿杏的秘招 支援者卡 h 选择最多2只自己的 恶 宝可梦 从自己的牌库附给那些宝可梦各1张 基本 恶 能量 卡 并且重洗牌库 附于战斗宝可梦身上的情况下 将那只宝可梦 中毒
12841	阿杏的秘招 支援者卡 h 选择最多2只自己的 恶 宝可梦 从自己的牌库附给那些宝可梦各1张 基本 恶 能量 卡 并且重洗牌库 附于战斗宝可梦身上的情况下 将那只宝可梦 中毒
12975	阿杏的秘招 支援者卡 h 选择最多2只自己的 恶 宝可梦 从自己的牌库附给那些宝可梦各1张 基本 恶 能量 卡 并且重洗牌库 附于战斗宝可梦身上的情况下 将那只宝可梦 中毒
6765	阿驯 支援者卡 f 从自己的牌库抽出3张卡
6875	阿驯 支援者卡 f 从自己的牌库抽出3张卡
6897	阿驯 支援者卡 f 从自己的牌库抽出3张卡
7450	阿驯 支援者卡 f 从自己的牌库抽出3张卡
7470	阿驯 支援者卡 f 从自己的牌库抽出3张卡
7590	阿驯 支援者卡 f 从自己的牌库抽出3张卡
7596	阿驯 支援者卡 f 从自己的牌库抽出3张卡
7721	阿驯 支援者卡 f 从自己的牌库抽出3张卡
7744	阿驯 支援者卡 f 从自己的牌库抽出3张卡
7766	阿驯 支援者卡 f 从自己的牌库抽出3张卡
8206	阿驯 支援者卡 f 从自己的牌库抽出3张卡
13088	艾莉丝的斗志 支援者卡 i 这张卡必须将自己的1张手牌丢弃才可使用 从牌库抽卡直到自己的手牌满6张为止
13190	艾莉丝的斗志 支援者卡 i 这张卡必须将自己的1张手牌丢弃才可使用 从牌库抽卡直到自己的手牌满6张为止
10935	暗码迷的解读 支援者卡 h 从自己的牌库任意选择2张卡 重洗剩余牌库 将所选的卡以任意顺序排列 放回牌库上方
11099	暗码迷的解读 支援者卡 h 从自己的牌库任意选择2张卡 重洗剩余牌库 将所选的卡以任意顺序排列 放回牌库上方
12586	暗码迷的解读 支援者卡 h 从自己的牌库任意选择2张卡 重洗剩余牌库 将所选的卡以任意顺序排列 放回牌库上方
12974	暗码迷的解读 支援者卡 h 从自己的牌库任意选择2张卡 重洗剩余牌库 将所选的卡以任意顺序排列 放回牌库上方
9615	奥尔迪加 支援者卡 g 查看对手的手牌 从其中任意选择1张卡 放回对手的牌库下方 然后 对手若希望 从牌库抽出1张卡
9754	奥尔迪加 支援者卡 g 查看对手的手牌 从其中任意选择1张卡 放回对手的牌库下方 然后 对手若希望 从牌库抽出1张卡
12802	奥尔迪加 支援者卡 g 查看对手的手牌 从其中任意选择1张卡 放回对手的牌库下方 然后 对手若希望 从牌库抽出1张卡
3115	奥利薇 支援者卡 d 这张卡必须将自己的2张手牌丢弃才可使用 查看对手的手牌 选择其中1张训练家卡 放回对手的牌库下方
8140	奥利薇 支援者卡 d 这张卡必须将自己的2张手牌丢弃才可使用 查看对手的手牌 选择其中1张训练家卡 放回对手的牌库下方
10022	奥琳博士的气魄 支援者卡 g 选择最多2只自己的 古代 宝可梦 从弃牌区附给那些宝可梦各1张基本能量卡 然后 从自己的牌库抽出3张卡
10956	奥琳博士的气魄 支援者卡 g 选择最多2只自己的 古代 宝可梦 从弃牌区附给那些宝可梦各1张基本能量卡 然后 从自己的牌库抽出3张卡
11562	奥琳博士的气魄 支援者卡 g 选择最多2只自己的 古代 宝可梦 从弃牌区附给那些宝可梦各1张基本能量卡 然后 从自己的牌库抽出3张卡
11568	奥琳博士的气魄 支援者卡 g 选择最多2只自己的 古代 宝可梦 从弃牌区附给那些宝可梦各1张基本能量卡 然后 从自己的牌库抽出3张卡
12588	奥琳博士的气魄 支援者卡 g 选择最多2只自己的 古代 宝可梦 从弃牌区附给那些宝可梦各1张基本能量卡 然后 从自己的牌库抽出3张卡
12976	奥琳博士的气魄 支援者卡 g 选择最多2只自己的 古代 宝可梦 从弃牌区附给那些宝可梦各1张基本能量卡 然后 从自己的牌库抽出3张卡
13113	奥琳博士的气魄 支援者卡 g 选择最多2只自己的 古代 宝可梦 从弃牌区附给那些宝可梦各1张基本能量卡 然后 从自己的牌库抽出3张卡
11382	八朔 支援者卡 h 这张卡必须在上个对手的回合自己的宝可梦 昏厥 了才可使用 查看自己的牌库上方8张卡 从其中选择最多3张卡加入手牌 将剩余卡放回牌库并重洗
11445	八朔 支援者卡 h 这张卡必须在上个对手的回合自己的宝可梦 昏厥 了才可使用 查看自己的牌库上方8张卡 从其中选择最多3张卡加入手牌 将剩余卡放回牌库并重洗
2270	芭内特博士 支援者卡 e 从自己的牌库任意选择最多2张卡 将其丢弃 并且重洗牌库
11891	白蕾雅 支援者卡 h 这张卡只有在对手剩余奖赏卡的张数为2张时才可使用 在这个回合 若对手的战斗宝可梦因自己的 太晶 宝可梦使用的招式的伤害而 昏厥 了 则多获得1张奖赏卡
11917	白蕾雅 支援者卡 h 这张卡只有在对手剩余奖赏卡的张数为2张时才可使用 在这个回合 若对手的战斗宝可梦因自己的 太晶 宝可梦使用的招式的伤害而 昏厥 了 则多获得1张奖赏卡
11923	白蕾雅 支援者卡 h 这张卡只有在对手剩余奖赏卡的张数为2张时才可使用 在这个回合 若对手的战斗宝可梦因自己的 太晶 宝可梦使用的招式的伤害而 昏厥 了 则多获得1张奖赏卡
12597	白蕾雅 支援者卡 h 这张卡只有在对手剩余奖赏卡的张数为2张时才可使用 在这个回合 若对手的战斗宝可梦因自己的 太晶 宝可梦使用的招式的伤害而 昏厥 了 则多获得1张奖赏卡
12985	白蕾雅 支援者卡 h 这张卡只有在对手剩余奖赏卡的张数为2张时才可使用 在这个回合 若对手的战斗宝可梦因自己的 太晶 宝可梦使用的招式的伤害而 昏厥 了 则多获得1张奖赏卡
10937	白露的真心 支援者卡 h 将自己的1只剩余hp为 30 以下的宝可梦的hp全部恢复
11101	白露的真心 支援者卡 h 将自己的1只剩余hp为 30 以下的宝可梦的hp全部恢复
11106	白露的真心 支援者卡 h 将自己的1只剩余hp为 30 以下的宝可梦的hp全部恢复
12598	白露的真心 支援者卡 h 将自己的1只剩余hp为 30 以下的宝可梦的hp全部恢复
12986	白露的真心 支援者卡 h 将自己的1只剩余hp为 30 以下的宝可梦的hp全部恢复
9028	坂木的领导力 支援者卡 g 选择1个对手的战斗宝可梦身上附加的能量 放回对手的手牌 然后 从自己的手牌选择1张能量卡 附于战斗宝可梦身上
9063	坂木的领导力 支援者卡 g 选择1个对手的战斗宝可梦身上附加的能量 放回对手的手牌 然后 从自己的手牌选择1张能量卡 附于战斗宝可梦身上
9073	坂木的领导力 支援者卡 g 选择1个对手的战斗宝可梦身上附加的能量 放回对手的手牌 然后 从自己的手牌选择1张能量卡 附于战斗宝可梦身上
10287	坂木的领导力 支援者卡 g 选择1个对手的战斗宝可梦身上附加的能量 放回对手的手牌 然后 从自己的手牌选择1张能量卡 附于战斗宝可梦身上
3472	坂木的驱逐 支援者卡 c 选择最多2只自己的身上没有放置伤害指示物的备战宝可梦 将所选的宝可梦与所附加的卡全部丢到弃牌区
5177	宝可梦发烧友俱乐部 支援者卡 b 从自己的牌库抽出最多2张 基础 宝可梦 在给对手看过后加入手牌 并且重洗牌库
5923	宝可梦培育家 支援者卡 a 从自己的牌库抽出2张 然后 将自己的战斗宝可梦恢复 20 hp
1427	宝可梦培育家的育成 支援者卡 d 选择最多2只自己的场上宝可梦 从自己的牌库选择从那些宝可梦进化而来的卡各1张 放置于各自身上完成进化 并且重洗牌库 无法对自己的最初回合与刚使出的宝可梦使用
1586	宝可梦培育家的育成 支援者卡 d 选择最多2只自己的场上宝可梦 从自己的牌库选择从那些宝可梦进化而来的卡各1张 放置于各自身上完成进化 并且重洗牌库 无法对自己的最初回合与刚使出的宝可梦使用
1707	宝可梦培育家的育成 支援者卡 d 选择最多2只自己的场上宝可梦 从自己的牌库选择从那些宝可梦进化而来的卡各1张 放置于各自身上完成进化 并且重洗牌库 无法对自己的最初回合与刚使出的宝可梦使用
1584	宝可梦小朋友 支援者卡 d 从自己的牌库选择1张宝可梦卡 在给对手看过后加入手牌 并且重洗牌库
1706	宝可梦小朋友 支援者卡 d 从自己的牌库选择1张宝可梦卡 在给对手看过后加入手牌 并且重洗牌库
1864	宝可梦小朋友 支援者卡 d 从自己的牌库选择1张宝可梦卡 在给对手看过后加入手牌 并且重洗牌库
2033	宝可梦小朋友 支援者卡 d 从自己的牌库选择1张宝可梦卡 在给对手看过后加入手牌 并且重洗牌库
2453	宝可梦小朋友 支援者卡 d 从自己的牌库选择1张宝可梦卡 在给对手看过后加入手牌 并且重洗牌库
3094	宝可梦小朋友 支援者卡 d 从自己的牌库选择1张宝可梦卡 在给对手看过后加入手牌 并且重洗牌库
13111	宝可梦中心的姐姐 支援者卡 i 将自己的1只宝可梦恢复 60 hp 特殊状态也全部恢复
1585	宝可梦中心的姐姐 支援者卡 c d 选择自己的1只宝可梦 将那只宝可梦恢复 60 hp 特殊状态也全部恢复
3095	宝可梦中心的姐姐 支援者卡 c d 选择自己的1只宝可梦 将那只宝可梦恢复 60 hp 特殊状态也全部恢复
3476	宝可梦中心的姐姐 支援者卡 c d 选择自己的1只宝可梦 将那只宝可梦恢复 60 hp 特殊状态也全部恢复
8144	宝可梦中心的姐姐 支援者卡 c d 选择自己的1只宝可梦 将那只宝可梦恢复 60 hp 特殊状态也全部恢复
5740	北尚与南厦 支援者卡 b 从自己的牌库上方抽出1张 在看过后回复原样 然后 从2种效果中选择1种使用 ◆将自己的手牌全部丢到弃牌区 从牌库抽出5张 ◆将自己的手牌全部丢到弃牌区 从牌库下方抽出5张
6971	贝里菈 支援者卡 f 从牌库抽卡直到自己手牌的张数比对手手牌的张数多1张为止
3117	彼特 支援者卡 d 从自己的手牌选择1张基本能量卡 附于备战宝可梦身上
