#abi1
151C-003	151C	003	1	安抚之花	如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。回复自己1只宝可梦「60」HP。
151C-009	151C	009	1	坚硬甲壳	这只宝可梦所受到的招式的伤害「-30」。
151C-014	151C	014	1	虫蛹防守	这只宝可梦，不受到对手宝可梦所使用招式的效果影响。
151C-021	151C	021	1	抢先进化	这只宝可梦，如果是后攻玩家的最初回合的话，则即使刚刚出场也可进行进化。
151C-026	151C	026	1	引雷	每当自己的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可使用1次。选择【昏厥】了的宝可梦身上附着的1张【雷】能量，转附于这只宝可梦身上。
151C-027	151C	027	1	流沙藏身	只要这只宝可梦在场上，对手弃牌区中的训练家，就无法因为对手的物品或支援者的效果，被放回牌库。
151C-034	151C	034	1	活力王者	如果自己的场上有「尼多后」的话，则这只宝可梦的使用招式所需能量，全部消除。
151C-040	151C	040	1	鼓胀之躯	如果这只宝可梦身上附着了特殊能量的话，则这只宝可梦的最大HP「+100」。
151C-041	151C	041	1	全视回响	如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。查看对手的手牌。
151C-044	151C	044	1	三成能量	在自己的回合，当将这张卡牌从手牌使出并进行进化时，可使用1次。查看自己牌库上方3张卡牌，选择其中任意数量的基本能量，以任意方式附着于自己的宝可梦身上。将剩余的卡牌放回牌库并重洗牌库。
151C-045	151C	045	1	满开能量	在自己的回合，当将这张卡牌从手牌使出并进行进化时，可使用1次。查看自己牌库上方8张卡牌，选择其中任意数量的基本能量，以任意方式附着于自己的宝可梦身上。将剩余的卡牌放回牌库并重洗牌库。
151C-053	151C	053	1	火箭呼唤	在自己的回合可以使用1次。选择自己牌库中的1张「坂木的领导力」，在给对手看过之后，加入手牌。并重洗牌库。
151C-068	151C	068	1	毅力	当这只宝可梦，受到招式的伤害而【昏厥】时，自己抛掷1次硬币。如果为正面，则这只宝可梦不会【昏厥】，而是以剩余HP为「10」的状态留在场上。
151C-085	151C	085	1	暴走抽取	在自己的回合可以使用1次。给这只宝可梦身上放置1个伤害指示物。然后，从自己牌库上方抽取1张卡牌。
151C-093	151C	093	1	魂归故里	在自己的回合，当将这张卡牌从手牌使出并进行进化时，可使用1次。选择对手弃牌区中的1张支援者，放回对手的手牌。
151C-097	151C	097	1	登场催眠	在自己的回合，当将这张卡牌从手牌使出并进行进化时，可使用1次。令对手的战斗宝可梦陷入【睡眠】状态。
151C-104	151C	104	1	声援之骨	只要这只宝可梦在备战区，自己的「嘎啦嘎啦」所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。
151C-107	151C	107	1	反击	当这只宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，将3个伤害指示物放置于使用了招式的宝可梦身上。
151C-110	151C	110	1	同命炸弹	当这只宝可梦，在战斗场上受到对手宝可梦的招式的伤害而【昏厥】时，自己抛掷1次硬币。如果为正面，则令使用了招式的宝可梦【昏厥】。
151C-113	151C	113	1	幸运奖励	在自己的回合，当从反面朝上的自己的奖赏卡中拿取了这张卡牌时，如果自己的备战区有空位的话，则在加入手牌前可以使用。将这只宝可梦放于自己的备战区。然后，抛掷1次硬币如果为正面，则额外拿取1张奖赏卡。
151C-121	151C	121	1	神秘彗星	在自己的回合可以使用1次。给对手的1只宝可梦身上，放置2个伤害指示物。然后，将这只宝可梦，以及放于其身上的所有卡牌，放于弃牌区。
151C-122	151C	122	1	模仿屏障	如果这只宝可梦身上附着的能量数量与对手战斗宝可梦身上附着的能量数量相同的话，则这只宝可梦，不受到对手宝可梦的招式的伤害。
151C-130	151C	130	1	暴躁者	在自己的回合，当将这张卡牌从手牌使出并进行进化时，必须使用1次。将自己牌库上方的5张卡牌放于弃牌区。
151C-132	151C	132	1	变身启动	如果这只宝可梦在战斗场上的话，则仅在最初的自己的回合可以使用1次。选择自己牌库中的1张【基础】宝可梦（除「百变怪」外）。然后，将这只宝可梦，以及放于其身上的所有卡牌放于弃牌区，将被选择的宝可梦放于这只宝可梦原先的位置。并重洗牌库。
151C-139	151C	139	1	原始触手	只要这只宝可梦在战斗场上，对手的战斗宝可梦，无法撤退。
151C-141	151C	141	1	远古恒理	只要这只宝可梦在场上，对手战斗宝可梦的弱点按「×4」进行伤害计算。
151C-143	151C	143	1	贪嘴	在自己的回合可以使用1次。选择自己弃牌区中最多2张「吃剩的东西」，在给对手看过之后，加入手牌。
151C-144	151C	144	1	寒冰飘浮	如果这只宝可梦身上附着了【水】能量的话，则这只宝可梦【撤退】所需能量，全部消除。
151C-145	151C	145	1	伏特飘浮	如果这只宝可梦身上附着了【雷】能量的话，则这只宝可梦【撤退】所需能量，全部消除。
151C-146	151C	146	1	闪焰飘浮	如果这只宝可梦身上附着了【火】能量的话，则这只宝可梦【撤退】所需能量，全部消除。
151C-149	151C	149	1	喷射巡航	只要这只宝可梦在场上，自己所有宝可梦的【撤退】所需能量，全部消除。
151C-151	151C	151	1	再起动	在自己的回合可以使用1次。从牌库上方抽取卡牌，直到自己的手牌变为3张为止。
151C-155	151C	155	1	引雷	每当自己的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可使用1次。选择【昏厥】了的宝可梦身上附着的1张【雷】能量，转附于这只宝可梦身上。
151C-158	151C	158	1	三成能量	在自己的回合，当将这张卡牌从手牌使出并进行进化时，可使用1次。查看自己牌库上方3张卡牌，选择其中任意数量的基本能量，以任意方式附着于自己的宝可梦身上。将剩余的卡牌放回牌库并重洗牌库。
151C-159	151C	159	1	满开能量	在自己的回合，当将这张卡牌从手牌使出并进行进化时，可使用1次。查看自己牌库上方8张卡牌，选择其中任意数量的基本能量，以任意方式附着于自己的宝可梦身上。将剩余的卡牌放回牌库并重洗牌库。
151C-163	151C	163	1	暴走抽取	在自己的回合可以使用1次。给这只宝可梦身上放置1个伤害指示物。然后，从自己牌库上方抽取1张卡牌。
151C-167	151C	167	1	神秘彗星	在自己的回合可以使用1次。给对手的1只宝可梦身上，放置2个伤害指示物。然后，将这只宝可梦，以及放于其身上的所有卡牌，放于弃牌区。
151C-168	151C	168	1	变身启动	如果这只宝可梦在战斗场上的话，则仅在最初的自己的回合可以使用1次。选择自己牌库中的1张【基础】宝可梦（除「百变怪」外）。然后，将这只宝可梦，以及放于其身上的所有卡牌放于弃牌区，将被选择的宝可梦放于这只宝可梦原先的位置。并重洗牌库。
151C-169	151C	169	1	贪嘴	在自己的回合可以使用1次。选择自己弃牌区中最多2张「吃剩的东西」，在给对手看过之后，加入手牌。
151C-174	151C	174	1	安抚之花	如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。回复自己1只宝可梦「60」HP。
151C-176	151C	176	1	坚硬甲壳	这只宝可梦所受到的招式的伤害「-30」。
151C-179	151C	179	1	鼓胀之躯	如果这只宝可梦身上附着了特殊能量的话，则这只宝可梦的最大HP「+100」。
151C-184	151C	184	1	伏特飘浮	如果这只宝可梦身上附着了【雷】能量的话，则这只宝可梦【撤退】所需能量，全部消除。
151C-185	151C	185	1	再起动	在自己的回合可以使用1次。从牌库上方抽取卡牌，直到自己的手牌变为3张为止。
151C-186	151C	186	1	鼓胀之躯	如果这只宝可梦身上附着了特殊能量的话，则这只宝可梦的最大HP「+100」。
