#flt1
CSM1bC-150					0			0
CSM1bC-204					0			0
CSMPpC-010					0			0
CSM1DC-324					0			0
CSM1cC-149					0			0
CSM1cC-212					0			0
CSM2DC-342					0			0
CSMAC-018					0			0
CSMPfC-024					0			0
CSMPgC-024					0			0
CSMPhC-024					0			0
CSM1aC-151					200			0
CSM1aC-211					200			0
CSMAC-019					200			0
CSM1bC-151					0			0
CSM1aC-150					0			0
CSM1cC-151					0			0
CSM1cC-150					0			0
CSM1.5C-060					0			0
CSM1.5C-088					0			0
CSM1.5C-058					0			0
CSM1.5C-086					0			0
CSM1.5C-059					0			0
CSM1.5C-087					0			0
CSM2bC-150					6			0
CSM2bC-193					6			0
CSM2aC-150					20000			0
CSM2aC-194					20000			0
CSM2cC-150					20000			0
CSM2cC-192					20000			0
CSM2.5C-061					0			0
CSM2.5C-099					0			0
CS2.5C-058					8			0
CS1DC-207					20000			0
CS1aC-135					20000			0
CS3DC-167					20000			0
CSAC-024					20000			0
CS1.5C-055					4			0
CS1.5C-096					4			0
CS3DC-168					4			0
CSBC-019					4			0
CS2.5C-059					0			0
CS1.5C-052					8			0
CS2bC-115					0			0
CS1.5C-054					200			0
CS2aC-115					0			0
CS3DC-169					0			0
CS1.5C-053					6			0
CS2aC-114					0			0
CS1bC-136					0			0
CS1bC-199					0			0
CSCC-018					0			0
CS2bC-114					0			0
CS4bC-132					a0000			0
CSOC-019					a0000			0
CSVE1C-175					a0000			0
CSVE1pC-023					a0000			0
CS3.5C-064					20018			0
CS3.5C-066					6			0
CS4DaC-413					6			0
CSVE2C-206					6			0
CSVH3C-064					6			0
CS3DC-170					20000			0
CS3bC-122					20000			0
CS3bC-179					20000			0
CS4DaC-414					20000			0
CSCC-019					20000			0
CSVE1C-177					20000			0
CS3DC-166					20000			0
CS3aC-125					20000			0
CS3aC-184					20000			0
CS4DaC-412					20000			0
CSBC-018					20000			0
CSVE1C-171					20000			0
CS3.5C-065					20018			0
CSVE1C-173					20018			0
CS4aC-132					2004			0
CSVH3C-063					2004			0
CS5DC-153					0			1
CS5aC-127					0			1
CS5aC-176					0			1
CSNC-024					0			1
CSOC-018					0			1
CSVE1C-174					0			1
CSVE2C-205					0			1
CSVH3C-062					0			1
CSVM1cC-028					0			1
CSZC-058					0			1
CS6aC-131					2			1
CSVE1C-172					2			1
CSVE2C-202					2			1
CSZC-057					2			1
CS6bC-131					8			1
CS6.5C-072					0			1
CS6.5C-096					0			1
CSV4C-129					0			1
CSV8C-263					0			1
CSV9.5C-206					0			1
CSVE2C-203					0			1
CSVH3C-061					0			1
CBB3C-2003					0			1
CBB3C-2006					0			1
CSV1C-127					0			1
CSV8C-264					0			1
CSVE1C-176					0			1
CSVH1C-059					0			1
CSVM2bC-034					0			1
CSV5C-129					8			1
CSV2C-128					0			1
CSV3C-165					0			1
CSVE2C-207					0			1
CSV3C-130					18			1
CSVE2C-204					18			1
CSV8C-206					20000			1
CSV9C-208					2			1
CSV8C-207					400			1
CSV9.5C-208					400			1
CSV7C-204					0			1
CSV9.5C-207					0			1
CSVM1aC-033					0			1
CSV7C-203					0			1
CSVM2bC-033					0			1
CSV10C-221					200			1
CSV10C-287					200			1
CSV10C-222					20000			1
